<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20131017,000000,1280.92,1324.33,1274.46,1319.98,94494
20131018,000000,1318.52,1327.11,1311.68,1315.37,68443
20131021,000000,1316.34,1324.07,1313.10,1315.68,53724
20131022,000000,1315.32,1344.69,1310.11,1339.82,52268
20131023,000000,1339.89,1342.18,1329.20,1333.32,60402
20131024,000000,1332.37,1351.90,1330.28,1346.37,58887
20131025,000000,1345.72,1355.73,1336.58,1349.84,57499
20131028,000000,1353.64,1361.69,1346.35,1352.32,53966
20131029,000000,1352.57,1360.53,1340.18,1344.77,61004
20131030,000000,1344.24,1359.51,1334.76,1344.37,65644
20131031,000000,1341.27,1343.00,1319.11,1322.78,63881
20131101,000000,1322.68,1327.38,1306.07,1315.77,64144
20131104,000000,1313.64,1322.50,1311.11,1314.39,47528
20131105,000000,1313.57,1319.76,1305.87,1311.43,56027
20131106,000000,1311.19,1322.04,1309.12,1317.57,46690
20131107,000000,1316.97,1326.17,1296.63,1307.18,56156
20131108,000000,1307.69,1313.69,1281.09,1287.52,56560
20131111,000000,1287.71,1288.82,1279.11,1282.62,47753
20131112,000000,1281.69,1285.29,1261.35,1267.77,62912
20131113,000000,1266.04,1284.13,1265.82,1281.37,61395
20131114,000000,1280.92,1294.22,1278.08,1286.97,66811
20131115,000000,1286.97,1291.15,1280.39,1289.88,55517
20131118,000000,1289.22,1289.56,1270.03,1275.07,54085
20131119,000000,1275.42,1278.81,1269.14,1275.42,59740
20131120,000000,1274.87,1276.37,1241.02,1244.02,67500
20131121,000000,1242.64,1250.41,1236.77,1242.72,64970
20131122,000000,1242.64,1248.92,1241.12,1243.19,47279
20131125,000000,1242.27,1253.75,1227.57,1251.20,64397
20131126,000000,1251.09,1257.89,1239.65,1242.67,48221
20131127,000000,1241.74,1254.65,1236.31,1237.55,47597
20131128,000000,1236.39,1245.69,1234.72,1244.73,27815
20131129,000000,1242.12,1254.77,1240.77,1251.48,38645
20131202,000000,1250.65,1250.65,1217.79,1219.52,59854
20131203,000000,1219.84,1226.19,1215.27,1223.06,53663
20131204,000000,1223.53,1251.54,1211.74,1243.44,64999
20131205,000000,1242.32,1243.32,1217.06,1224.97,69524
20131206,000000,1224.22,1244.54,1212.59,1228.58,63018
20131209,000000,1230.53,1243.06,1225.27,1240.09,54198
20131210,000000,1239.59,1267.79,1237.87,1261.92,61137
20131211,000000,1260.43,1263.30,1251.06,1252.03,64638
20131212,000000,1251.37,1256.94,1223.91,1225.19,64669
20131213,000000,1224.32,1238.67,1220.56,1238.19,62872
20131216,000000,1237.71,1251.94,1227.75,1241.11,65597
20131217,000000,1240.27,1248.01,1227.37,1230.69,62068
20131218,000000,1231.08,1244.54,1216.11,1218.13,66451
20131219,000000,1218.78,1226.48,1187.13,1188.31,77711
20131220,000000,1189.72,1207.48,1188.77,1202.22,62326
20131223,000000,1202.80,1206.14,1192.67,1198.47,44590
